2026-04-09 17:02:48.405315: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:467] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1775754168.426104    9830 cuda_dnn.cc:8579] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1775754168.433242    9830 cuda_blas.cc:1407] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
W0000 00:00:1775754168.450292    9830 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775754168.450337    9830 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775754168.450342    9830 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
W0000 00:00:1775754168.450346    9830 computation_placer.cc:177] computation placer already registered. Please check linkage and avoid linking the same target more than once.
Starting 3m MAPPO Baseline...
Step        0 | Return:       0.17 | Win Rate:  0.00
Step    16384 | Return:       0.20 | Win Rate:  0.00
Step    32768 | Return:       0.25 | Win Rate:  0.00
Step    49152 | Return:       0.32 | Win Rate:  0.00
Step    65536 | Return:       0.40 | Win Rate:  0.00
Step    81920 | Return:       0.46 | Win Rate:  0.00
Step    98304 | Return:       0.55 | Win Rate:  0.01
Step   114688 | Return:       0.68 | Win Rate:  0.06
Step   131072 | Return:       0.82 | Win Rate:  0.13
Step   147456 | Return:       0.93 | Win Rate:  0.18
Step   163840 | Return:       1.08 | Win Rate:  0.28
Step   180224 | Return:       1.18 | Win Rate:  0.34
Step   196608 | Return:       1.29 | Win Rate:  0.42
Step   212992 | Return:       1.28 | Win Rate:  0.41
Step   229376 | Return:       1.38 | Win Rate:  0.49
Step   245760 | Return:       1.40 | Win Rate:  0.50
Step   262144 | Return:       1.41 | Win Rate:  0.51
Step   278528 | Return:       1.44 | Win Rate:  0.53
Step   294912 | Return:       1.47 | Win Rate:  0.55
Step   311296 | Return:       1.49 | Win Rate:  0.57
Step   327680 | Return:       1.50 | Win Rate:  0.57
Step   344064 | Return:       1.57 | Win Rate:  0.63
Step   360448 | Return:       1.58 | Win Rate:  0.65
